business_address,business_city,business_id,business_latitude,business_location,business_longitude,business_name,business_phone_number,business_postal_code,business_state,full_adress,inspection_date,inspection_id,inspection_type,risk_category,violation_description,violation_id,inspection_score
2405 Ocean Ave,San Francisco,4630.0,37.7300396,POINT (-122.469855 37.730139),-122.46981709999999,Zanze's Cheesecake,14155332264.0,94127,CA,2405 Ocean Ave San Francisco 94127 CA,08/15/2019 12:00:00 AM,4630_20190815,Routine - Unscheduled,,,,100.0
1422 Ocean Ave,San Francisco,75888.0,37.723155799999994,,-122.45248000000001,The Mayflower,14155586061.0,94112,CA,1422 Ocean Ave San Francisco 94112 CA,08/08/2019 12:00:00 AM,75888_20190808,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,75888_20190808_103119,96.0
Pier 43 1/2,San Francisco,36216.0,0.0,POINT (-122.415069 37.808931),0.0,Red and White Fleet - Royal Prince,,94133,CA,Pier 43 1/2 San Francisco 94133 CA,09/13/2019 12:00:00 AM,36216_20190913,Routine - Unscheduled,,,,100.0
1612 Ocean Ave,San Francisco,76374.0,37.7247064,,-122.4593893,Wang Wah Restaurant,14155584953.0,94112,CA,1612 Ocean Ave San Francisco 94112 CA,07/24/2019 12:00:00 AM,76374_20190724,Routine - Unscheduled,Low Risk,Inadequate dressing rooms or improper storage of personal items,76374_20190724_103153,96.0
1 Ferry Building  Suite 50,San Francisco,93393.0,0.0,,0.0,Hidden Star Orchards,14150668620.0,94111,CA,1 Ferry Building  Suite 50 San Francisco 94111 CA,02/06/2018 12:00:00 AM,93393_20180206,Routine - Unscheduled,,,,100.0
2210 FILLMORE St,San Francisco,1322.0,37.78999,POINT (-122.433962 37.789961),-122.43395262857099,"LA MEDITERRANEE I, INC.",,94115,CA,2210 FILLMORE St San Francisco 94115 CA,03/12/2019 12:00:00 AM,1322_20190312,Routine - Unscheduled,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,1322_20190312_103149,96.0
5 Embarcadero Center,San Francisco,3518.0,0.0,POINT (-122.396457 37.794168),0.0,"Hyatt Regency - Main Kitchen, Employees Cafeteria",,94111,CA,5 Embarcadero Center San Francisco 94111 CA,03/08/2019 12:00:00 AM,3518_20190308,Routine - Unscheduled,,,,100.0
2435 Noriega St,San Francisco,10990.0,37.7542437,POINT (-122.489929 37.753623),-122.476502,Tak Kee Lee Restaurant,,94122,CA,2435 Noriega St San Francisco 94122 CA,07/17/2019 12:00:00 AM,10990_20190717,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,10990_20190717_103120,86.0
1 Yerba Buena Ln,San Francisco,65442.0,37.7859592,POINT (-122.403532 37.785078),-122.40485679999999,Bluestem Brasserie,,94103,CA,1 Yerba Buena Ln San Francisco 94103 CA,04/11/2019 12:00:00 AM,65442_20190411,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,65442_20190411_103124,90.0
3665 SACRAMENTO St,San Francisco,2755.0,37.7870388,POINT (-122.45299 37.787364),-122.452977,SOCIALE,14155920309.0,94118,CA,3665 SACRAMENTO St San Francisco 94118 CA,03/27/2019 12:00:00 AM,2755_20190327,Routine - Unscheduled,Moderate Risk,Foods not protected from contamination,2755_20190327_103133,90.0
660 Howard St,San Francisco,34434.0,37.785818,POINT (-122.399729 37.785654),-122.399723,Fang's,,94105,CA,660 Howard St San Francisco 94105 CA,03/07/2019 12:00:00 AM,34434_20190307,Routine - Unscheduled,Low Risk,Low risk vermin infestation,34434_20190307_103161,92.0
699 08th St,San Francisco,66963.0,0.0,POINT (-122.404291 37.770384),0.0,Zynga,,94103,CA,699 08th St San Francisco 94103 CA,08/13/2019 12:00:00 AM,66963_20190813,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,66963_20190813_103154,94.0
2506 FILLMORE St,San Francisco,65412.0,37.792607000000004,POINT (-122.434556 37.792658),-122.43448000000001,Jackson Fillmore Trattoria,,94115,CA,2506 FILLMORE St San Francisco 94115 CA,03/22/2018 12:00:00 AM,65412_20180322,Routine - Unscheduled,Low Risk,Food safety certificate or food handler card not available,65412_20180322_103157,90.0
2000 Chestnut St,San Francisco,5278.0,37.800876,POINT (-122.436684 37.800797),-122.436444,WILLIAMS-SONOMA,,94123,CA,2000 Chestnut St San Francisco 94123 CA,05/02/2018 12:00:00 AM,5278_20180502,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,5278_20180502_103119,96.0
2565 Mission St.,San Francisco,70148.0,37.756125399999995,,-122.41847560000001,Mission Street Sports Bar SF,14157306425.0,94110,CA,2565 Mission St. San Francisco 94110 CA,10/01/2019 12:00:00 AM,70148_20191001,Routine - Unscheduled,Moderate Risk,Moderate risk vermin infestation,70148_20191001_103131,88.0
1665 FOLSOM St,San Francisco,70090.0,37.770073700000005,POINT (-122.415342 37.770126),-122.415159870842,Cathead's BBQ,,94103,CA,1665 FOLSOM St San Francisco 94103 CA,08/07/2019 12:00:00 AM,70090_20190807,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,70090_20190807_103124,90.0
231 Cortland Ave,San Francisco,79346.0,37.7395753,,-122.4190173,"Pinhole Coffee, LLC",,94110,CA,231 Cortland Ave San Francisco 94110 CA,12/26/2018 12:00:00 AM,79346_20181226,Routine - Unscheduled,,,,100.0
2198 Folsom St,San Francisco,36348.0,37.762215999999995,POINT (-122.415035 37.762217),-122.41511399999999,El Tepa,,94110,CA,2198 Folsom St San Francisco 94110 CA,10/02/2019 12:00:00 AM,36348_20191002,Routine - Unscheduled,Moderate Risk,Moderate risk vermin infestation,36348_20191002_103131,77.0
1325 OCEAN Ave,San Francisco,97432.0,37.723155799999994,,-122.45248000000001,CHASE LUCK BAKERY,,94112,CA,1325 OCEAN Ave San Francisco 94112 CA,05/06/2019 12:00:00 AM,97432_20190506,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,97432_20190506_103124,84.0
885 Brannan St #B3,San Francisco,93309.0,0.0,,0.0,Pizza Squared,,94103,CA,885 Brannan St #B3 San Francisco 94103 CA,08/13/2019 12:00:00 AM,93309_20190813,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,93309_20190813_103124,92.0
1750 Cesar Chavez St Unit E,San Francisco,74305.0,0.0,,0.0,Luke's Local,,94124,CA,1750 Cesar Chavez St Unit E San Francisco 94124 CA,09/11/2019 12:00:00 AM,74305_20190911,Routine - Unscheduled,High Risk,Other high risk violation,74305_20190911_103115,91.0
126 CLEMENT St,San Francisco,36730.0,37.78338395,POINT (-122.460661 37.783148),-122.460703393554,Chapeau,,94118,CA,126 CLEMENT St San Francisco 94118 CA,05/23/2019 12:00:00 AM,36730_20190523,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,36730_20190523_103144,96.0
66 Raymond Ave,San Francisco,88831.0,37.712380666666704,,-122.404491333333,Visitation Valley Community Center,,94134,CA,66 Raymond Ave San Francisco 94134 CA,12/05/2018 12:00:00 AM,88831_20181205,Routine - Unscheduled,Low Risk,Low risk vermin infestation,88831_20181205_103161,92.0
3380 20th St,San Francisco,7493.0,37.758887200000004,POINT (-122.416522 37.758817),-122.4167358,MR. PICKLE'S SANDWICH SHOP,14150928956.0,94110,CA,3380 20th St San Francisco 94110 CA,09/06/2019 12:00:00 AM,7493_20190906,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,7493_20190906_103120,90.0
1415 Folsom St,San Francisco,99729.0,37.7725007,,-122.41300109999999,SEXTANT COFFEE ROASTERS,14155351415.0,94103,CA,1415 Folsom St San Francisco 94103 CA,05/13/2019 12:00:00 AM,99729_20190513,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,99729_20190513_103124,96.0
2817 24th St,San Francisco,71087.0,37.752713899999996,POINT (-122.408599 37.752824),-122.40860929999998,The Roosevelt,,94110,CA,2817 24th St San Francisco 94110 CA,01/10/2019 12:00:00 AM,71087_20190110,Routine - Unscheduled,Moderate Risk,Moderate risk vermin infestation,71087_20190110_103131,96.0
155 Columbus Ave.,San Francisco,62702.0,37.8014527,POINT (-122.40498 37.79668),-122.4117915,Comstock Saloon,14155610071.0,94133,CA,155 Columbus Ave. San Francisco 94133 CA,03/17/2017 12:00:00 AM,62702_20170317,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,62702_20170317_103120,92.0
1055 Ellis St.,San Francisco,89072.0,37.783418918367296,,-122.423524612245,Epicurean@SHCP,,94109,CA,1055 Ellis St. San Francisco 94109 CA,09/25/2019 12:00:00 AM,89072_20190925,Routine - Unscheduled,High Risk,High risk vermin infestation,89072_20190925_103114,83.0
3290 Sacramento St,San Francisco,68352.0,37.78831029999999,POINT (-122.446674 37.788248),-122.44670900000001,Vogue Theatre,,94115,CA,3290 Sacramento St San Francisco 94115 CA,06/17/2019 12:00:00 AM,68352_20190617,Routine - Unscheduled,Moderate Risk,Moderate risk vermin infestation,68352_20190617_103131,96.0
641 Vallejo St,San Francisco,68321.0,37.7985013,,-122.40838240000001,Capo's,,94133,CA,641 Vallejo St San Francisco 94133 CA,11/08/2017 12:00:00 AM,68321_20171108,Routine - Unscheduled,Moderate Risk,Moderate risk vermin infestation,68321_20171108_103131,84.0
919 DIVISADERO ST,San Francisco,10875.0,37.77816195,POINT (-122.438474 37.778194),-122.438698168439,Brendas Meat & Three,14155928657.0,94115,CA,919 DIVISADERO ST San Francisco 94115 CA,03/13/2019 12:00:00 AM,10875_20190313,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,10875_20190313_103144,92.0
3251 20th Ave,San Francisco,88829.0,37.7289115,,-122.47568770000001,Namaskar Foods Authentic Nepalese and Indian Cusine,14155703214.0,94132,CA,3251 20th Ave San Francisco 94132 CA,10/09/2016 12:00:00 AM,88829_20161009,Routine - Unscheduled,,,,100.0
3136 Noriega St,San Francisco,14740.0,37.753457899999994,POINT (-122.497572 37.753338),-122.4975871,Eggette Cafe,,94122,CA,3136 Noriega St San Francisco 94122 CA,09/20/2019 12:00:00 AM,14740_20190920,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,14740_20190920_103154,98.0
845 Market St Box A,San Francisco,80280.0,0.0,,0.0,Fire of Brazil Express,,94103,CA,845 Market St Box A San Francisco 94103 CA,09/26/2019 12:00:00 AM,80280_20190926,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,80280_20190926_103154,96.0
399 10th Ave,San Francisco,4678.0,37.781008,POINT (-122.468635 37.781139),-122.468682,BOUDIN BAKERY,,94118,CA,399 10th Ave San Francisco 94118 CA,05/06/2019 12:00:00 AM,4678_20190506,Routine - Unscheduled,Moderate Risk,Moderate risk vermin infestation,4678_20190506_103131,96.0
2859 Mission St,San Francisco,90313.0,37.751321244898,,-122.418250877551,MISSION BURGER,14150218424.0,94110,CA,2859 Mission St San Francisco 94110 CA,05/14/2019 12:00:00 AM,90313_20190514,Routine - Unscheduled,Low Risk,Low risk vermin infestation,90313_20190514_103161,92.0
50 Post St #65A,San Francisco,94432.0,0.0,,0.0,Braised + Bread,,94104,CA,50 Post St #65A San Francisco 94104 CA,08/22/2019 12:00:00 AM,94432_20190822,Routine - Unscheduled,,,,100.0
4440 Mission St,San Francisco,36160.0,37.7265791,POINT (-122.433485 37.726489),-122.43360449999999,Zabb,14155582455.0,94112,CA,4440 Mission St San Francisco 94112 CA,03/04/2019 12:00:00 AM,36160_20190304,Routine - Unscheduled,Low Risk,Improper storage of equipment utensils or linens,36160_20190304_103145,91.0
4109 24th St,San Francisco,1626.0,37.7511773,POINT (-122.434529 37.751243),-122.43453159999999,LUPA TRATTORIA,14155644664.0,94114,CA,4109 24th St San Francisco 94114 CA,04/23/2019 12:00:00 AM,1626_20190423,Routine - Unscheduled,Moderate Risk,Foods not protected from contamination,1626_20190423_103133,88.0
745 Columbus Ave,San Francisco,1830.0,37.801363,POINT (-122.412137 37.801616),-122.4119257,Sushi on North Beach,,94133,CA,745 Columbus Ave San Francisco 94133 CA,12/11/2018 12:00:00 AM,1830_20181211,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,1830_20181211_103124,82.0
22 Peace Plaza  510,San Francisco,84321.0,0.0,,0.0,An Japanese Restaurant,14155923121.0,94115,CA,22 Peace Plaza  510 San Francisco 94115 CA,06/25/2019 12:00:00 AM,84321_20190625,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,84321_20190625_103144,98.0
1805 HAIGHT St,San Francisco,62051.0,37.7692708571429,POINT (-122.451961 37.769303),-122.45205867346901,Parada 22,14155904077.0,94117,CA,1805 HAIGHT St San Francisco 94117 CA,05/09/2019 12:00:00 AM,62051_20190509,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,62051_20190509_103119,88.0
4689 Mission St,San Francisco,90461.0,37.72330223076921,,-122.43572492307699,Mr. T Cafe,,94112,CA,4689 Mission St San Francisco 94112 CA,04/17/2018 12:00:00 AM,90461_20180417,Routine - Unscheduled,Low Risk,Inadequate ventilation or lighting,90461_20180417_103147,90.0
409 Illinois St,San Francisco,74509.0,37.7667525102041,,-122.388040510204,Guckenheimer at Fibrogen,,94107,CA,409 Illinois St San Francisco 94107 CA,01/09/2017 12:00:00 AM,74509_20170109,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,74509_20170109_103120,96.0
850 La Playa St,San Francisco,85541.0,37.77249855,,-122.50936759495701,AFC Sushi@Safeway#0785,14150603200.0,94121,CA,850 La Playa St San Francisco 94121 CA,06/24/2019 12:00:00 AM,85541_20190624,Routine - Unscheduled,Low Risk,Permit license or inspection report not posted,85541_20190624_103156,96.0
819 Valencia St,San Francisco,97662.0,37.759795000000004,,-122.42129160869601,THE BREW COOP,14159610184.0,94110,CA,819 Valencia St San Francisco 94110 CA,04/03/2019 12:00:00 AM,97662_20190403,Routine - Unscheduled,Low Risk,Low risk vermin infestation,97662_20190403_103161,96.0
684 Broadway St,San Francisco,94572.0,37.79775031581529,,-122.408295986322,Broadway Dim Sum Cafe,,94133,CA,684 Broadway St San Francisco 94133 CA,08/13/2019 12:00:00 AM,94572_20190813,Routine - Unscheduled,Moderate Risk,Foods not protected from contamination,94572_20190813_103133,84.0
301 De Montfort Ave,San Francisco,96909.0,37.7231492,,-122.461594476061,STRATFORD SCHOOL,14155333134.0,94112,CA,301 De Montfort Ave San Francisco 94112 CA,08/28/2019 12:00:00 AM,96909_20190828,Routine - Unscheduled,,,,100.0
501 Cambridge St,San Francisco,35340.0,37.725030600000004,POINT (-122.41765 37.724683),-122.416856485965,Cornerstone Academy,14155585183.0,94134,CA,501 Cambridge St San Francisco 94134 CA,09/11/2019 12:00:00 AM,35340_20190911,Routine - Unscheduled,Low Risk,Permit license or inspection report not posted,35340_20190911_103156,98.0
421  BARTLETT St,San Francisco,5812.0,37.750179877551,POINT (-122.419293 37.750243),-122.41925846938801,Zaida T. Rodriguez (ZTR) Annex Child Development Center,14155695844.0,94110,CA,421  BARTLETT St San Francisco 94110 CA,09/09/2019 12:00:00 AM,5812_20190909,Routine - Unscheduled,Low Risk,Food safety certificate or food handler card not available,5812_20190909_103157,98.0
160 14th St,San Francisco,91279.0,37.7685356521739,,-122.41700652173901,Green Tiffin,,94122,CA,160 14th St San Francisco 94122 CA,04/23/2019 12:00:00 AM,91279_20190423,Routine - Unscheduled,Low Risk,Food safety certificate or food handler card not available,91279_20190423_103157,98.0
1098 Jackson St,San Francisco,85271.0,37.795299,,-122.413051,Early to Rise,,94133,CA,1098 Jackson St San Francisco 94133 CA,08/20/2019 12:00:00 AM,85271_20190820,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,85271_20190820_103144,98.0
1737 Post St. #393,San Francisco,9248.0,0.0,POINT (-122.430317 37.785457),0.0,Belly Good Cafe & Crepes,,94115,CA,1737 Post St. #393 San Francisco 94115 CA,02/21/2019 12:00:00 AM,9248_20190221,Routine - Unscheduled,Low Risk,Low risk vermin infestation,9248_20190221_103161,96.0
2565 3rd St    Suite 307,San Francisco,89906.0,0.0,,0.0,The Fudbox,,94107,CA,2565 3rd St    Suite 307 San Francisco 94107 CA,01/18/2017 12:00:00 AM,89906_20170118,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,89906_20170118_103154,98.0
4950 Mission St,San Francisco,86137.0,37.71982705,,-122.43894520922899,AFC Sushi @ Safeway #964,,94112,CA,4950 Mission St San Francisco 94112 CA,08/20/2019 12:00:00 AM,86137_20190820,Routine - Unscheduled,,,,100.0
3655 Lawton St,San Francisco,77004.0,37.7567748163265,,-122.50194553061199,Andytown Coffee Roasters,14155759775.0,94122,CA,3655 Lawton St San Francisco 94122 CA,06/13/2019 12:00:00 AM,77004_20190613,Routine - Unscheduled,,,,100.0
"24 Willie Mays Pl View Lvl, Sect 324",San Francisco,95205.0,0.0,,0.0,95205 Popcorn Cart,,94107,CA,"24 Willie Mays Pl View Lvl, Sect 324 San Francisco 94107 CA",07/19/2019 12:00:00 AM,95205_20190719,Routine - Unscheduled,,,,100.0
1601 Fulton St,San Francisco,90833.0,37.776125,,-122.443269,Nopa Liquors & Deli,,94117,CA,1601 Fulton St San Francisco 94117 CA,06/25/2018 12:00:00 AM,90833_20180625,Routine - Unscheduled,,,,100.0
747 HOWARD St,San Francisco,19061.0,37.78378145,POINT (-122.401533 37.784128),-122.40136990498199,Moscone Convention Center - Stand #3,,94103,CA,747 HOWARD St San Francisco 94103 CA,08/09/2018 12:00:00 AM,19061_20180809,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,19061_20180809_103124,94.0
1 Grant Ave,San Francisco,92338.0,37.787007700000004,,-122.4051662,Museum of Ice Cream,,94108,CA,1 Grant Ave San Francisco 94108 CA,09/13/2019 12:00:00 AM,92338_20190913,Routine - Unscheduled,Moderate Risk,Insufficient hot water or running water,92338_20190913_103129,96.0
1956 Lombard St,San Francisco,67359.0,37.7991495,POINT (-122.433794 37.800158),-122.4419399,Lite Bite,,94123,CA,1956 Lombard St San Francisco 94123 CA,04/30/2019 12:00:00 AM,67359_20190430,Routine - Unscheduled,Moderate Risk,Foods not protected from contamination,67359_20190430_103133,82.0
199 VALENCIA St,San Francisco,68799.0,37.748017499999996,,-122.4202824,Zeitgeist,14155436891.0,94110,CA,199 VALENCIA St San Francisco 94110 CA,06/17/2019 12:00:00 AM,68799_20190617,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,68799_20190617_103124,96.0
45 Castro St,San Francisco,5606.0,37.76825695,POINT (-122.435736 37.768922),-122.434621226945,CALIFORNIA PACIFIC MEDICAL CENTER,,94114,CA,45 Castro St San Francisco 94114 CA,07/07/2017 12:00:00 AM,5606_20170707,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,5606_20170707_103119,94.0
598 Bryant St,San Francisco,94806.0,37.7830141,,-122.39372220000001,Bryant Shell,,94107,CA,598 Bryant St San Francisco 94107 CA,08/09/2019 12:00:00 AM,94806_20190809,Routine - Unscheduled,Low Risk,Unclean unmaintained or improperly constructed toilet facilities,94806_20190809_103152,98.0
1452 FRANKLIN ST,San Francisco,98283.0,37.787591795918395,,-122.423349877551,KLATCH COFFEE - SF,14155820953.0,94109,CA,1452 FRANKLIN ST San Francisco 94109 CA,07/01/2019 12:00:00 AM,98283_20190701,Routine - Unscheduled,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,98283_20190701_103149,98.0
1801 San Jose Ave,San Francisco,89969.0,37.72872525,,-122.43996271488301,Red Sea Pizza and Market,,94112,CA,1801 San Jose Ave San Francisco 94112 CA,02/28/2018 12:00:00 AM,89969_20180228,Routine - Unscheduled,Low Risk,Improper food storage,89969_20180228_103139,92.0
888 Howard St 5th Floor,San Francisco,37170.0,0.0,POINT (-122.404778 37.781664),0.0,InterContinental San Francisco 5th Fl. Kitchen,,94103,CA,888 Howard St 5th Floor San Francisco 94103 CA,01/23/2018 12:00:00 AM,37170_20180123,Routine - Unscheduled,,,,100.0
1422 Market St,San Francisco,69492.0,37.776176299999996,,-122.4183419,Bay Area Little John's Candies,,94102,CA,1422 Market St San Francisco 94102 CA,09/01/2017 12:00:00 AM,69492_20170901,Routine - Unscheduled,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,69492_20170901_103149,92.0
201 Fell St,San Francisco,59041.0,37.776058,POINT (-122.421177 37.7761),-122.42128500000001,Nina's Cafe,,94102,CA,201 Fell St San Francisco 94102 CA,07/29/2019 12:00:00 AM,59041_20190729,Routine - Unscheduled,Low Risk,Unclean unmaintained or improperly constructed toilet facilities,59041_20190729_103152,98.0
2739 Geary Blvd,San Francisco,82143.0,37.7816785,,-122.4530969,Ro Cafe,14155349765.0,94118,CA,2739 Geary Blvd San Francisco 94118 CA,08/05/2019 12:00:00 AM,82143_20190805,Routine - Unscheduled,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,82143_20190805_103149,87.0
24 Willie Mays Pl Rm 5307,San Francisco,95079.0,0.0,,0.0,95079 Juma Ventures - Commissary Section 5307,,94107,CA,24 Willie Mays Pl Rm 5307 San Francisco 94107 CA,07/19/2019 12:00:00 AM,95079_20190719,Routine - Unscheduled,,,,100.0
2948 Folsom St,San Francisco,79794.0,37.7501113061224,,-122.413953346939,El Pipila,,94110,CA,2948 Folsom St San Francisco 94110 CA,08/09/2017 12:00:00 AM,79794_20170809,Routine - Unscheduled,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,79794_20170809_103116,89.0
120 Pine St,San Francisco,85480.0,37.792261100000005,,-122.39978490000001,Jimmy John's,,94111,CA,120 Pine St San Francisco 94111 CA,03/29/2019 12:00:00 AM,85480_20190329,Routine - Unscheduled,High Risk,Unclean or unsanitary food contact surfaces,85480_20190329_103109,91.0
24 Willie Mays Pl View Level Rm 5326,San Francisco,95250.0,0.0,,0.0,95250 C&C Concessions/View Level Vending Room,,94107,CA,24 Willie Mays Pl View Level Rm 5326 San Francisco 94107 CA,07/19/2019 12:00:00 AM,95250_20190719,Routine - Unscheduled,,,,100.0
1901 San Jose Ave.,San Francisco,91802.0,37.7267869,,-122.4413672,Roxie Food Center,,94112,CA,1901 San Jose Ave. San Francisco 94112 CA,02/28/2018 12:00:00 AM,91802_20180228,Routine - Unscheduled,Low Risk,Improper or defective plumbing,91802_20180228_103150,96.0
3109 24th St,San Francisco,81473.0,0.0,,0.0,24th and Folsom Eatery,,,CA,,05/01/2019 12:00:00 AM,81473_20190501,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,81473_20190501_103120,92.0
455 South Mission Bay Blvd,San Francisco,74485.0,37.7707894,,-122.387708,Guckenheimer@Nektar,,94158,CA,455 South Mission Bay Blvd San Francisco 94158 CA,04/05/2019 12:00:00 AM,74485_20190405,Routine - Unscheduled,High Risk,High risk food holding temperature,74485_20190405_103103,85.0
2620 OCEAN AVE,San Francisco,98226.0,37.730745399999996,,-122.4712982,SIMPLE,14155610398.0,94132,CA,2620 OCEAN AVE San Francisco 94132 CA,05/30/2019 12:00:00 AM,98226_20190530,Routine - Unscheduled,Low Risk,Permit license or inspection report not posted,98226_20190530_103156,98.0
24 Willie Mays Plaza,San Francisco,69135.0,37.7786119,,-122.390267454256,Ghirardelli Chocolate - Main Concourse Level,,94107,CA,24 Willie Mays Plaza San Francisco 94107 CA,07/19/2019 12:00:00 AM,69135_20190719,Routine - Unscheduled,,,,100.0
3438 MISSION ST,San Francisco,99059.0,37.7416967,,-122.42257240000002,CAFE ST JORGE,14150522847.0,94110,CA,3438 MISSION ST San Francisco 94110 CA,02/13/2019 12:00:00 AM,99059_20190213,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,99059_20190213_103120,94.0
801 SILVER Ave,San Francisco,5927.0,37.72958825,POINT (-122.418728 37.729108),-122.418333388027,CORNERSTONES ACADEMY,,94134,CA,801 SILVER Ave San Francisco 94134 CA,09/03/2019 12:00:00 AM,5927_20190903,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,5927_20190903_103154,94.0
110 Yacht Rd,San Francisco,70254.0,37.8079064,,-122.4426886,Dynamo Donut and Coffee,,94123,CA,110 Yacht Rd San Francisco 94123 CA,01/05/2018 12:00:00 AM,70254_20180105,Routine - Unscheduled,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,70254_20180105_103149,98.0
